id,type,english,hindi,gujarati,content,timestamp
11cf58a9-78b4-4ca0-ae5e-e3ac4d9358c0,multilingual-lesson,"Hello! Let’s learn about HTML.  
HTML stands for *HyperText Markup Language*. It’s like a set of instructions that tells a website how to look. Here’s a simple example:

```html  
<p>This is a paragraph</p>  
<h1>This is a big heading</h1>  
```  

This code will show a paragraph and a heading on a website. Would you like to learn more about HTML? Let me know!","नमस्ते! आइए HTML सीखें।  
HTML का पूरा नाम *हाइपरटेक्स्ट मार्कअप लैंग्वेज* है। यह वेबसाइट को बताता है कि वह कैसा दिखना चाहिए। यह एक सरल उदाहरण है:

```html  
<p>यह एक पैराग्राफ है</p>  
<h1>यह एक बड़ा हेडिंग है</h1>  
```  

यह कोड एक पैराग्राफ और एक हेडिंग को वेबसाइट पर दिखाएगा। क्या आप HTML के बारे में और जानना चाहेंगे? बताएं!","નમસ્તે! એચટીએમએલ (HTML) શીખીએ.  
HTML નો પૂરો નામ *હાયપરટેક્સ્ટ માર્કઅપ લેંગ્વેજ* છે. તે વેબસાઇટને બતાવે છે કે તે કેવી રીતે દેખાવી જોઈએ. આ એક સરળ દાખલો છે:

```html  
<p>આ એક પેરાગ્રાફ છે</p>  
<h1>આ એક મોટો હેડિંગ છે</h1>  
```  

આ કોડ એક પેરાગ્રાફ અને એક હેડિંગ વેબસાઇટ પર દર્શાવશે. શું તમે HTML વિષે વધુ જાણવા માંગો છો? જણાવો!",,2025-07-31 05:46:12.806287+00
13fe2e5e-4576-4251-87d2-96b1f10950f2,multilingual-lesson,"Hello! Today, we will learn about digital literacy.  
Digital literacy means being able to use computers, phones, and the internet confidently.  
We will learn how to type, send emails, and stay safe online.","नमस्ते! आज हम डिजिटल साक्षरता के बारे में जानेंगे।  
डिजिटल साक्षरता का मतलब है कंप्यूटर, फोन और इंटरनेट का आत्मविश्वास से उपयोग करना।  
हम सीखेंगे कि कैसे टाइप करना है, ईमेल भेजना है, और ऑनलाइन सुरक्षित रहना है।","નમસ્તે! આજે અમે ડિજિટલ સાક્ષરતા વિશે જાણીશું.  
ડિજિટલ સાક્ષરતાનો અર્થ છે કમ્પ્યુટર, ફોન અને ઇન્ટરનેટનો આત્મવિશ્વાસપૂર્વક ઉપયોગ.  
અમે શીખીશું કે ટાઇપ કરવું, ઈમेल મોકલવી અને ઓનલાઇન સુરક્ષિત રહેવું.",,2025-07-31 06:10:06.933223+00
14eb0914-7b83-40cd-b62a-4574c6f52be6,multilingual-lesson,"Hello! Let’s learn about the basics of the internet and online safety.  

The internet is like a big library of information. To use it, you need tools like **web browsers** (e.g., Chrome, Firefox) or apps. A **search engine** (like Google) helps you find what you’re looking for.  

Here’s how to stay safe online:  
1. Never share your personal information (like passwords or phone numbers) with strangers.  
2. Use strong passwords and keep them secret.  
3. Be careful when downloading files or clicking on links.","नमस्ते! आइए इंटरनेट के मूलभूत बातों और ऑनलाइन सुरक्षा सीखें।  

इंटरनेट एक बड़ा जानकारी का खजा़ना है। इसे इस्तेमाल करने के लिए आपको **वेब ब्राउज़र** (जैसे, क्रोम, फ़ायरफ़ॉक्स) या ऐप्स की ज़रूरत होती है। एक **सर्च इंजन** (जैसे, गूगल) आपको अपनी चीज़ ढूंढ़ने में मदद करता है।  

ऑनलाइन सुरक्षा के लिए ये सुझाव हैं:  
1. अपनी निजी जानकारी (जैसे, पासवर्ड या फ़ोन नंबर) अजनबियों के साथ कभी साझा न करें।  
2. मज़बूत पासवर्ड का इस्तेमाल करें और उसे गुप्त रखें।  
3. फ़ाइल डाउनलोड करते या लिंक पर क्लिक करते समय सावधानी बरतें।","નમસ્તે! ઇન્ટરનેટના મૂળભૂત ભાગો અને ઓનલાઇન સુરક્ષા વિશે શીખીએ.  

ઇન્ટરનેટ એક મોટી જાણકારીનો ખજાનો છે. તેનો ઉપયોગ કરવા માટે તમે **વેબ બ્રાઉઝર** (જેવી કે ક્રોમ, ફાયરફોક્સ) કે **ઍપ્સ** ની જરૂર પડે છે. એક **શોધ ઇન્જન** (જેવી કે ગૂગલ) તમને તમે જે શોધી રહ્યાં છો તે અને જગ્યાએ લાવે છે.  

ઓનલાઇન સુરક્ષા માટેના સૂચનો:  
1. અજાણ્યા લોકો સાથે તમારી વ્યક્તિગત માહિતી (જેવી કે પાસવર્ડ અથવા ફોન નમ્બર) ક્યારેય ભાગ ન લંગો.  
2. મજબૂત પાસવર્ડનો ઉપયોગ કરો અને તેને ગુપ્ત રાખો.  
3. ફાઇલો ડાઉનલોડ કરતી વાર અથવા લિંક્સ પર ક્લિક કરતી વાર સાવચેત રહો.",,2025-07-31 06:58:23.969+00
15605770-6320-45c0-a2a8-dc70447dafab,multilingual-lesson,"Hello! Let’s learn how to use Instagram.  

1. **Creating an Account**: Download the Instagram app from the app store. Sign up with your email address, phone number, or connect with Facebook. Choose a username and password.

2. **Profile Setup**: Add a profile picture and write a bio for yourself. You can also follow friends and celebrities to see their posts.

3. **Posting Photos/Videos**: Tap the plus sign at the bottom of the screen, choose a photo/video from your camera roll, write a caption, add hashtags, and share it.

4. **Explore & Interact**: Discover new posts on the explore page, like and comment on posts you enjoy, and send direct messages to friends.

5. **Stories & Highlights**: Share temporary posts in your story that disappear after 24 hours. You can also save stories in highlights on your profile.

6. **Privacy Settings**: Go to settings to make your account private, control who can see your posts, and manage notifications.  

Enjoy using Instagram and have fun sharing with others!","नमस्ते! चलिए इंस्टाग्राम का उपयोग कैसे करें सीखें।  

1. **खाता बनाएं**: अप्प स्टोर से इंस्टाग्राम ऐप डाउनलोड करें। अपने ईमेल पते, फोन नंबर से साइन अप करें या फेसबुक से कनेक्ट करें। 

2. **प्रोफाइल सेटअप**: प्रोफाइल फोटो डालें और अपने बारे में बायो लिखें। दोस्तों और सेलिब्रिटी को फॉलो करें ताकि आप उनके पोस्ट देख सकें। 

3. **फोटो/वीडियो पोस्ट करें**: स्क्रीन के निचले भाग में प्लस आइकन टैप करें, कैमरा रोल से फोटो/वीडियो चुनें, कैप्शन लिखें, हैशटैग डालें और इसे शेयर करें। 

4. **एक्सप्लोर और इंटरैक्ट**: एक्सप्लोर पेज पर नए पोस्ट खोजें, पोस्ट पसंद और कमेंट करें, और दोस्तों को सीधे संदेश भेजें। 

5. **स्टोरीज और हाइलाइट्स**: 24 घंटे बाद गायब होने वाले स्टोरी में साझा करें। आप अपनी प्रोफाइल पर हाइलाइट्स में स्टोरीज को सेव भी कर सकते हैं। 

6. **गोपनीयता सेटिंग्स**: सेटिंग्स में जाकर अपने अकाउंट को प्राइवेट बनाएं, पोस्ट्स किसे देख सकता है ये नियंत्रित करें और नोटिफिकेशन्स मैनेज करें। 

इंस्टाग्राम का इस्तेमाल करने का आनंद लें और दूसरों के साथ शेयरिंग का मजा लें!","નમસ્તે! ચાલો Instagram નો ઉપયોગ કેવી રીતે કરવો શીખીએ.  

1. **એકાઉન્ટ બનાવવું**: એપ સ્ટોર થી Instagram એપ ડાઉનલોડ કરો. તમારું ઇમેઇલ એડ્રેસ, મોબાઇલ નંબર દ્વારા સાઇન અપ કરો અથવા ફેસબુક સાથે કનેક્ટ કરો.  

2. **પ્રોફાઈલ સેટ અપ**: પ્રોફાઈલ ચિત્ર ઉપડાવો અને તમારી બાયો માં લખવું. મિત્રો અને પ્રમુખ ને ફોલો કરો જે તમને પોસ્ટ જોવા મળશે.  

3. **ફોટો/વિડિઓ પોસ્ટ કરો**: સ્ક્રીનના નીચા ભાગમાં પ્લસ આઈકન પર ટેપ કરો, કેમેરા રોલ માંથી ફોટો/વિડિયો પસંદ કરો, કેપ્શન લખો, હેશટેગ ઉમેરો અને તેને શેર કરો.  

4. **એક્સપ્લોર અને ઇન્ટરેક્ટ**: એક્સપ્લોર પેજ પર નવી પોસ્ટ શોધો, પોસ્ટ પસંદ કરો અને કમેન્ટ કરો, અને મિત્રોને ડાયરેક્ટ મેસેજ મોકલો.  

5. **સ્ટોરીઝ અને હાઇલાઇટ્સ**: 24 કલાક પછી ગુમ થતી સ્ટોરીઝ શેર કરો. તમારી પ્રોફાઈલ પર સ્ટોરીઝ ને હાઇલાઇટ્સ માં સેવ કરી શકો છો.  

6. **પ્રાઈવેસી સેટિંગ્સ**: સેટિંગ્સ પર જાઓ, તમારો એકાઉન્ટ પ્રાઈવેટ બનાવો, કોણ તમારી પોસ્ટ જોઈ શકે તેને કન્ટ્રોલ કરો અને નોટિફિકેશન્સ મેનેજ કરો.  

Instagram નો ઉપયોગ કરવા મજા કરો અને અન્યો સાથે શેર કરવાનું આનંદ લો!",,2025-07-31 09:56:16.466+00
18de354a-de08-483f-ad83-495a5d7a785b,multilingual-lesson,"Hello! Let’s learn about email.  

Email stands for *Electronic Mail*. It’s like sending a letter, but faster and through the internet. You can send messages, photos, files, and more to anyone in the world with an email address.  

Why use email?  
- It’s fast and reliable.  
- You can send messages to anyone, anywhere in the world.  
- You can even send files like photos, documents, and videos.  

How does it work?  
1. You need an email address (like yourname@example.com).  
2. You write a message and send it to someone else’s email address.  
3. They can read it in their inbox and reply if they want.  

Example of an email:  
**Subject:** Meeting Tomorrow  
**Message:** Hi, just checking if you’re free for our meeting tomorrow at 2 PM. See you then!  

Remember: Always keep your email account safe with a strong password, and never share personal information with strangers.  

Let’s practice sending an email next time!","नमस्ते! ईमेल के बारे में सीखते हैं।  

ईमेल का अर्थ है *इलेक्ट्रॉनिक मेल*। यह एक पत्र भेजने जैसा है, लेकिन इससे तेज़ और इंटरनेट के माध्यम से। आप किसी भी ईमेल पते पर संदेश, फ़ोटो, फ़ाइलें और बहुत कुछ भेज सकते हैं।  

ईमेल क्यों_use करें?  
- यह तेज़ और विश्वसनीय है।  
- आप दुनिया में किसी भी व्यक्ति को संदेश भेज सकते हैं।  
- आप फ़ोटो, दस्तावेज़ और वीडियो जैसी फ़ाइलें भी भेज सकते हैं।  

यह कैसे काम करता है?  
1. आपको एक ईमेल पता चाहिए (जैसे yourname@example.com)।  
2. आप एक संदेश लिखते हैं और किसी और के ईमेल पते पर भेज देते हैं।  
3. वे इसे अपने इनबॉक्स में पढ़ सकते हैं और जवाब दे सकते हैं।  

ईमेल का उदाहरण:  
**विषय:** कल की मीटिंग  
**संदेश:** हाय, बस यह जानना चाहता था कि क्या आप कल 2 बजे की मीटिंग के लिए फ़्री हैं। तब मिलते हैं!  

याद रखें: अपने ईमेल खाते को मजबूत पासवर्ड के साथ सुरक्षित रखें, और अजनबियों के साथ व्यक्तिगत जानकारी साझा न करें।  

अगली बार ईमेल भेजने का अभ्यास करते हैं!","નમસ્તે! ઇમેઇલ વિશે શીખીએ.  

ઇમેઇલનો અર્થ એ છે *ઇલેક્ટ્રોનિક મેઇલ*. તમે પત્ર મોકલવા જેવું છે, પરંતુ આટો ઇન્ટરનેટ દ્વારા અને ઝડપી છે. તમે કોઈપણ ઇમેઇલ સરનામું (જેમ કે yourname@example.com) પર સંદેશ, ફોટા, ફાઇલો અને વધુ મોકલી શકો છો.  

ઇમેઇલ કેમ કામ આવે છે?  
1. તમને એક ઇમેઇલ સરનામું જોઇએ છે (જેમ કે yourname@example.com).  
2. તમે એક સંદેશ લખો છો અને કોઈના ઇમેઇલ સરનામે પર મોકલો છો.  
3. તે તેમના ઇનબોક્સમાં તે વાંચી શકે છે અને જવાબ આપી શકે છે.  

ઇમેઇલનું દાખલો:  
**વિષય:** આજે મીટિંગ  
**સંદેશ:** હાય, માત્ર જાહેર કરવા માટે કે શું તમે આજે દર મીટિંગ માટે ઉપલબ્ધ છો. મળજો ત્યાં!  

યાદ રાખો: તમારા ઇમેઇલ એકાઉન્ટને મજબૂત પાસવર્ડ સાથે સુરક્ષિત રાખો, અને અજાણ્યા લોકો સાથે વ્યક્તિગત માહિતી સંભાળશો નહીં.  

જરૂર પડશે તો પાછળી વાર ઇમેઇલ મોકલવાની પ્રેક્ટિસ કરીશું!",,2025-07-31 06:44:50.833569+00
2273bea9-2d92-421c-8e8a-25db839ca221,multilingual-lesson,"Hello! Let’s talk about digital literacy and apps.  

An app (short for ""application"") is a program you can use on your phone or computer. For example, apps like Facebook, WhatsApp, or games are things you can download and use.  

If you're asking about the latest app, it depends on what you're looking for! There are apps for learning, games, chatting, or even helping with work. Some popular ones right now are social media apps like Instagram or TikTok, but new apps come out all the time.  

Would you like me to explain more about how apps work or how to use them?","नमस्ते! आइए डिजिटल साक्षरता और ऐप्स के बारे में बात करते हैं।  

एक ऐप (रिक्वेस्ट का संक्षिप्त रूप है) एक प्रोग्राम है जिसका उपयोग आप अपने फ़ोन या कंप्यूटर पर कर सकते हैं। उदाहरण के लिए, फ़ेसबुक, व्हाट्सैप, या गेम्स जैसे ऐप्स हैं जिन्हें आप डाउनलोड कर सकते हैं और उपयोग कर सकते हैं।  

यदि आप नवीनतम ऐप के बारे में पूछ रहे हैं, तो यह इस बात पर निर्भर करता है कि आप क्या ढूंढ रहे हैं! सीखने, गेम्स, चैटिंग, या यहां तक कि काम में मदद करने के लिए ऐप्स हैं। वर्तमान में कुछ लोकप्रिय ऐप्स इंस्टाग्राम या टिकटॉक जैसे सोशल मीडिया ऐप्स हैं, लेकिन नए ऐप्स समय-समय पर आते रहते हैं।  

क्या आप जानना चाहेंगे कि ऐप्स कैसे काम करते हैं या उन्हें कैसे इस्तेमाल किया जाता है?","નમસ્તે! આઇએ ડિજિટલ સાક્ષરતા અને એપ્સ વિશે ચર્ચા કરીએ.  

એક એપ (એપ્લિકેશનનું સંક્ષિપ્ત રૂપ) એક પ્રોગ્રામ છે જેનો ઉપયોગ તમે તમારા મોબાઇલ અથવા કમ્પ્યુટર પર કરી શકો છો. ઉદાહરણ તરીકે, ફેસબુક, વ્હોટ્સએપ, અથવા ગેમ્સ જેવા એપ્સ છે જેને તમે ડાઉનલોડ કરીને ઉપયોગ કરી શકો છો.  

જો તમે નવીનતમ એપ વિશે પૂછી રહ્યા હોવ, તો આ એ તે પર આધારિત છે કે તમે શું શોધી રહ્યા છો! શિખવવા, ગેમ્સ, ચેટિંગ, અથવા હતુ કાર્ય માટે મદદ કરવા માટે એપ્સ છે. હાલમાં કેટલાક લોકપ્રિય એપ્સ ઇન્સ્ટાગ્રામ અથવા ટિકટોક જેવા સોશિયલ મીડિયા એપ્સ છે, પરંતુ નવા એપ્સ સમય સમય પર આવતા રહે છે.  

શું તમે જાણવા માંગો છો કે એપ્સ કેવી રીતે કાર્ય કરે છે અથવા તેમનો ઉપયોગ કેવી રીતે કરવો?",,2025-07-31 08:13:15.486+00
26802b1c-07bf-4264-bb9a-390b27f9e0f1,multilingual-lesson,"Hello! Let’s learn about **bold** and *emphasis* in text.  
We can make text bold or italic to make it stand out. Here’s how:

```html
<strong>This text will be bold</strong>  
<em>This text will be italic</em>
```","नमस्ते! आइए **बोल्ड** और *इटैलिक* सीखें।  
हम पाठ को बोल्ड या इटैलिक करके उसे अलग दिखा सकते हैं। यह राही है:

```html
<strong>यह पाठ बोल्ड होगा</strong>  
<em>यह पाठ इटैलिक होगा</em>
```","નમસ્તે! આવીએ **બોલ્ડ** અને *ઇટેલિક્સ* શીખીએ.  
અમે પાઠ્ય ભાગને બોલ્ડ અથવા ઇટેલિક્સ કરીને તેને અલગ દર્શાવી શકીએ છીએ. જુઓ:

```html
<strong>આ પાઠ્ય બોલ્ડ હશે</strong>  
<em>આ પાઠ્ય ઇટેલિક્સ હશે</em>
```",,2025-07-31 09:47:37.85+00
2685178b-95dd-4894-ad63-4e338c6ff78b,multilingual-lesson,"Hello! Let’s learn about the internet and digital literacy.  
The internet is like a big library, marketplace, and communication tool all in one. It helps us connect with people, find information, and learn new things.  

Let’s start with something simple:  
1. **Websites**: These are like pages on the internet. You can visit them using a web browser (like Chrome or Safari).  
2. **Search Engines**: These help you find websites. Google is a popular search engine.  
3. **Email**: This is like sending letters online. You can send messages to anyone with an email address.  

Here’s how to search for something online:  
1. Open a browser and go to Google.  
2. Type what you want to find (like “weather today”).  
3. Press Enter, and Google will show you results.","नमस्ते! आइए इंटरनेट और डिजिटल साक्षरता सीखें।  
इंटरनेट एक बड़ा लाइब्रेरी, बाजार और संचार का टूल है। यह हमें लोगों से जुड़ने, जानकारी खोजने और नई चीजें सीखने में मदद करता है।  

कुछ सरल बातें सीखना शुरू करें:  
1. **वेबसाइट्स**: ये इंटरनेट पर पन्नों की तरह हैं। आप इन्हें वेब ब्राउज़र (जैसे क्रोम या सَفारी) का उपयोग करके देख सकते हैं।  
2. **सर्च इंजन**: ये वेबसाइट्स खोजने में मदद करते हैं। गूगल एक पॉप्युलर सर्च इंजन है।  
3. **ईमेल**: यह ऑनलाइन पत्र भेजने जैसा है। आप किसी भी ईमेल पते पर संदेश भेज सकते हैं।  

ऑनलाइन कुछ खोजने का तरीका:  
1. ब्राउज़र खोलें और गूगल पर जाएं।  
2. जो खोजना चाहते हैं (जैसे “आज का मौसम”) टाइप करें।  
3. एंटर दबाएं, और गूगल परिणाम दिखाएगा।","નમસ્તે! આવીએ ઇન્ટરનેટ અને ડિજિટલ સાક્ષરતા શીખીએ।  
ઇન્ટરનેટ એક મોટી લાઇબ્રેરી, બજાર અને સંચાર ટूल છે. તે અમને લોકો સાથે જોડાવવા, માહિતી શોધવા અને નવી ચીજો શીખવામાં મદદ કરે છે.  

થોડી સરળ બાબતો શીખવા શરૂ કરીએ:  
1. **વેબસાઇટ્સ**: આ ઇન્ટરનેટ પર પાનાં જેવી હોય છે. તમે વેબ બ્રાઉઝર (જેવી કે ક્રોમ અથવા સફારી) નો ઉપયોગ કરીને તેને જુઓ છો.  
2. **સર્ચ એન્જિન**: આ વેબસાઇટ્સ શોધવામાં મદદ કરે છે. ગૂગલ એક લોકપ્રિય સર્ચ એન્જિન છે.  
3. **ઇમેઇલ**: આ ઓનલાઇન પત્ર મોકલવા જેવી છે. તમે કિસેય ઇમેઇલ સરનામે સંદેશ મોકલી શકો છો.  

ઓનલાઇન કંઈ શોધવાની પદ્ધતિ:  
1. બ્રાઉઝર ખોલો અને ગૂગલ પર જાઓ.  
2. જે શોધવા માંગો છો (જેમ કે “આજે વાતાવરણ”) ટાઇપ કરો.  
3. એન્ટર દબાવો, અને ગૂગલ પરિણામો દર્શાવશે.",,2025-07-30 07:50:22.858483+00
297edf44-b30a-4a38-8356-6fa6f5812ba5,multilingual-lesson,"Hello! A computer is a machine that can help you work, learn, and play. It can do calculations, store information, and even talk to other computers over the internet. You can use it for typing, playing games, or watching videos.","नमस्ते! कम्प्यूटर एक मशीन है जो आपको काम करने, सीखने और खेलने में मदद करता है। यह गणना कर सकता है, जानकारी स्टोर कर सकता है, और इंटरनेट के माध्यम से दूसरे कम्प्यूटरों से बात भी कर सकता है। आप इसका उपयोग टाइपिंग, गेम खेलने या वीडियो देखने के लिए कर सकते हैं।","નમસ્તે! કમ્પ્યુટર એક મશીન છે જે તમને કામ કરવા, શીખવા અને રમવામાં મદદ કરે છે. તે ગણતરી કરી શકે છે, માહિતી સંગ્રહ કરી શકે છે અને ઇન્ટરનેટ દ્વારા અન્ય કમ્પ્યુટરો સાથે વાત પણ કરી શકે છે. તમે તેનો ઉપયોગ ટાઇપિંગ, ગેમ્સ રમવા અથવા વિડિયો જુએવા માટે કરી શકો છો.",,2025-07-31 06:35:08.256561+00
2b3fb1ad-2169-4de9-a24d-86eb339748ac,multilingual-lesson,Hello! How can I help you today with digital literacy?,नमस्ते! डिजिटल साक्षरता के बारे में मैं कैसे मदद कर सकती हूँ?,નમસ્તે! આજે આપનો ડિજિટલ લિટરેસી સાથે શું તમને મદદ કરવી એવો હોવો છે?,,2025-07-31 09:56:30.527+00
